time,SimNetwork.a.parkingLot.parkingOccupancy:vector
553013.330725579444,0
557708.967164496769,1
558417.53532186966,2
559772.340888363139,1
560103.089446835183,0
565922.756764948818,1
566460.923058627755,2
567763.696035280722,1
568376.775912705696,0
569005.588166723639,1
569287.537243665298,2
570740.728279598992,1
571165.257544580181,0
576798.410901740925,1
577752.718883771911,2
578643.645977935655,3
578670.587603663269,2
579695.118200294432,1
580452.494921211763,0
581018.752964837576,1
582789.543857303449,0
584466.369161927565,1
584744.497770940789,2
585789.772634441366,3
586202.21692802679,2
586620.048970059537,1
586791.510276128597,2
587341.493189830708,3
587882.806212429341,2
588662.201469596574,1
589091.835562357003,0
590024.919306451095,1
591804.605088084548,0
592753.711302920234,1
594425.535572399804,0
594610.167738390411,1
596223.581768366855,0
598394.484918137306,1
600109.410119742861,0
601576.20021618022,1
602001.845831175623,2
603682.328253931644,1
603899.177296533117,0
604328.723611187008,1
606503.423346586528,0
607505.007280214651,1
609164.258605439036,0
613201.468927008611,1
614928.919292159585,0
622022.144400658931,1
622297.601925192674,2
623889.035479706015,1
624374.875942526074,0
624501.188977065898,1
626124.158356855832,0
629611.05588653914,1
631461.028415422753,0
632478.209167819015,1
634361.995423930005,0
639335.545590639999,1
640998.321403995323,0
642171.502321860837,1
642727.144809913589,2
643468.199958399162,3
643821.368041606137,4
643854.632559024314,3
644099.620707252975,4
644594.003519779306,3
645500.259520483333,2
645654.124205316037,1
645910.950249271968,0
646429.297802889601,1
647295.507094237,2
648389.565108621105,1
648964.189682219868,2
649060.781030788774,1
650435.155566412208,2
650729.291752039579,1
652283.240648666512,0
653361.418614101763,1
655418.39458121667,0
656177.370637106345,1
657902.969341629851,0
661115.749255986209,1
661355.762983567345,2
663047.315020207154,1
663264.545579920595,0
667924.515481156168,1
669897.599522792257,2
669951.381858276856,1
671753.16777302121,0
673308.355742638302,1
674344.297269373215,2
674978.72606846748,3
675129.26340749474,2
676334.527335384113,1
676529.564600593622,0
677420.033651730683,1
678207.86779591542,2
678755.829578820227,3
679065.053915359817,2
680013.24002775866,1
680420.848089697045,0
681780.219588368703,1
683638.482518125886,0
686681.191417280735,1
688317.355762006896,0
688600.905950014741,1
690478.466690624893,0
692113.62797433711,1
693748.164637744647,0
696951.354577844608,1
698806.500906941623,0
700685.418060472032,1
702689.17146928166,0
704150.308460438457,1
704451.153257392825,2
705799.364343630024,1
706120.8146408074,0
712963.295647169156,1
714987.583161843209,0
720608.514705735847,1
722573.520770211074,0
724896.909758227616,1
726741.884392711478,0
726756.776895898705,1
727496.883318337282,2
728791.314645691777,1
729205.344502400014,0
730118.059852712916,1
731947.830778694645,0
733464.114840636329,1
735294.15204695245,0
742943.386127977274,1
744695.867341811081,0
745314.606982789515,1
745597.881213800734,2
746758.468768752927,1
747052.092763228825,2
747639.429103725424,1
748647.112215234471,2
748648.935562079425,1
750035.408322583714,2
750610.47158219649,1
752046.129543387176,0
760607.75359884781,1
760946.788931468234,2
762425.74546435369,1
762744.739764359341,0
763957.209072050168,1
765670.443215056354,0
770199.771731294782,1
770946.521225717961,2
771499.985375326973,3
772036.296393475836,2
772931.388155217189,1
773195.494316172319,0
773462.014107845799,1
775259.77315035715,0
775579.411130031216,1
777412.168000581878,0
779730.568575205422,1
781470.80500254557,0
